book_title,challenge_reasons,num_reasons,primary_reason
Wilma's Way Home: The Life of Wilma Mankiller,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Soccer Star,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Big Red Lollipop,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Dishes,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
My Name Is María Isabel,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Malala: A Hero for All (Step into Reading Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Hold Back the Tide,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Festival of Colors,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Princess Princess Ever After,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Swimming with Faith: The Missy Franklin Story (ZonderKidz Biography Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Until Friday Night (The Field Party Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
All Around Us,Age-appropriateness concerns,1,Age-appropriateness concerns
The Vincent Brothers (The Vincent Boys Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Sam and the Lucky Money,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Sound of Silence,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
My Awesome/Awful Popularity Plan (Justin Goldblatt Series),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Barbed Wire Baseball: How One Man Brought Hope to the Japanese Internment Camps of WWII,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The List of Things That Will Not Change,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Day of the Dead,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Uncle Jed's Barber Shop,Age-appropriateness concerns; Mental health & trauma; Race & systemic inequality,3,Age-appropriateness concerns
Never Say a Mean Word Again: A Tale from Medieval Spain,Age-appropriateness concerns,1,Age-appropriateness concerns
"Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968",Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
