book_title,ban_date,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected,collection_successful,state,error
"Pele, King of Soccer/Pele, El rey del futbol: Bilingual Spanish-English",2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:08:51,True,Pennsylvania,
Fry Bread: A Native American Family Story,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:08:56,True,Pennsylvania,
IntersectionAllies: We Make Room for All,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:09:01,True,Pennsylvania,
You Matter,2021-08-01,70.0,75.19,100.0,100.0,55.0,54.0,7.41,5.19,10.75,2026-02-05 22:09:06,True,Pennsylvania,
Say Something,2021-08-01,75.23,68.5,100.0,100.0,61.0,56.0,-8.95,-6.73,8.03,2026-02-05 22:09:12,True,Pennsylvania,
Stamped from the Beginning: The Definitive History of Racist Ideas in America,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:09:17,True,Pennsylvania,
Who Are Venus and Serena Williams? (What was...? Series),2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:09:22,True,Pennsylvania,
Can We Talk about Race?: And Other Conversations in an Era of School Resegregation,2021-08-01,2.12,0.0,100.0,0.0,0.0,0.0,-100.0,-2.12,14.09,2026-02-05 22:09:27,True,Pennsylvania,
Niño Wrestles the World (Niño Series),2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:09:39,True,Pennsylvania,
Clap When You Land,2021-08-01,2.17,1.73,100.0,100.0,0.0,0.0,-20.0,-0.43,13.22,2026-02-05 22:09:44,True,Pennsylvania,
The Other Side,2021-08-01,76.81,78.99,100.0,100.0,60.0,59.0,2.84,2.18,8.17,2026-02-05 22:09:49,True,Pennsylvania,
